encourage,alentar,encourager
thinking,pensando,en pensant
beginning,comenzando,debut
play,jugar,jouer
politically,politicamente,politiquement
annual,anual,annuel
jacket,chaqueta,veste
growing,creciente,croissance
dialogue,dialogo,dialogue
note,nota,remarque
beauty,belleza,beaute
galaxy,galaxia,galaxie
option,opcion,option
radical,radical,radical
fantasy,fantasia,fantaisie
famous,famoso,celèbre
holiday,fiesta,vacances
hell,infierno,enfer
who,quien,oms
basically,basicamente,fondamentalement
palestinian,palestino,palestinien
notice,aviso,remarquer
highly,muy,très
chase,perseguir,chasser
ear,oreja,oreille
public,publico,publique
easy,facil,facile
raise,aumentar,elever
handful,punado,poignee
habit,habito,habitude
wonderful,maravilloso,magnifique
tail,cola,queue
repeatedly,repetidamente,à plusieurs reprises
naturally,naturalmente,naturellement
program,programa,programme
yield,producir,rendement
e-mail,email,e-mail
whose,cuyo,à qui
reflect,reflejar,reflechir
scream,grito,crier
classroom,salon de clases,salle de classe
invasion,invasion,invasion
traffic,trafico,circulation
tactic,tactica,tactique
promote,promover,promouvoir
ahead,adelante,devant
united,unido,uni
exactly,exactamente,exactement
literature,literatura,litterature
rating,clasificacion,notation
ceiling,techo,plafond
certainly,ciertamente,certainement
rush,prisa,se ruer
cold,frio,du froid
milk,leche,lait
limit,limite,limite
chapter,capitulo,chapitre
item,it,objet
way,manera,facon
middle,medio,milieu
especially,especialmente,surtout
spend,gastar,depenser
boot,bota,demarrage
muslim,musulman,musulman
physically,fisicamente,physiquement
criticize,criticar,critiquer
minor,menor,mineur
six,seis,six
class,clase,classer
investor,inversor,investisseur
conclusion,conclusion,conclusion
distribution,distribucion,distribution
fashion,moda,mode
ultimate,ultimo,ultime
appoint,nombrar,nommer
chief,jefe,chef
move,moverse,bouge toi
democrat,democrata,democrate
land,tierra,terre
create,crear,creer
tv,televisor,la tele
basket,cesta,corbeille
twice,dos veces,deux fois
awful,horrible,affreux
abroad,en el extranjero,à l'etranger
excellent,excelente,excellent
normally,normalmente,en temps normal
pursue,perseguir,poursuivre
immediately,inmediatamente,immediatement
recover,recuperar,se remettre
awareness,conciencia,sensibilisation
destroy,destruir,detruire
cloud,nube,nuage
near,cerca,près
primarily,ante todo,principalement
nut,tuerca,noix
often,con frecuencia,souvent
largely,en gran parte,en grande partie
celebrate,celebrar,celebrer
mad,enojado,fou
bone,hueso,os
publish,publicar,publier
proposed,propuesto,propose
horror,horror,horreur
cool,frio,frais
physician,medico,medecin
link,enlace,lien
blue,azul,bleu
perspective,perspectiva,la perspective
hat,sombrero,chapeau
dad,papa,père
street,calle,rue
birth,nacimiento,naissance
demonstrate,demostrar,demontrer
funding,fondos,le financement
pair,par,paire
lip,labio,lèvre
divide,dividir,diviser
security,seguridad,securite
remote,remoto,à distance
musician,musico,musicien
independent,independiente,independant
italian,italiano,italien
association,asociacion,association
expansion,expansion,expansion
threat,amenaza,menace
friendship,amistad,relation amicale
remaining,restante,restant
maintenance,mantenimiento,maintenance
soup,sopa,soupe
window,ventana,la fenêtre
clinical,clinico,clinique
symbol,simbolo,symbole
route,ruta,route
economist,economista,economiste
taxpayer,contribuyente,contribuable
movie,pelicula,film
voter,votante,electeur
us,nosotros,nous
treatment,tratamiento,traitement
theater,teatro,theâtre
why,por que,pourquoi
afternoon,tarde,après midi
significantly,significativamente,significativement
evidence,evidencia,preuve
distant,distante,loin
cultural,cultural,culturel
force,fuerza,obliger
politics,politica,politique
proposal,propuesta,proposition
running,corriendo,fonctionnement
her,su,son
cholesterol,colesterol,cholesterol
better,mejor,mieux
miss,extranar,mademoiselle
serious,grave,serieux
wheel,rueda,roue
advance,avance,avance
anyone,alguien,n'importe qui
cook,cocinar,cuisiner
christmas,navidad,noël
another,otro,une autre
relevant,pertinente,pertinent
headquarters,sede,quartier general
simply,simplemente,simplement
tower,torre,la tour
phenomenon,fenomeno,phenomène
right,correcto,droit
species,especies,espèce
discussion,discusion,discussion
newly,recien,nouvellement
survive,sobrevivir,survivre
european,europeo,europeen
vote,votar,voter
bit,poco,bit
nothing,nada,rien
well,bien,bien
suspect,sospechar,suspect
late,tarde,en retard
tone,tono,ton
ball,bola,balle
until,hasta que,jusqu'à ce que
inner,interno,interieur
moral,moral,moral
country,pais,de campagne
teaspoon,cucharilla,cuillère à cafe
development,desarrollo,developpement
great,estupendo,genial
mix,mezcla,melanger
anticipate,prever,anticiper
category,categoria,categorie
natural,natural,naturel
crowd,multitud,foule
journalist,periodista,journaliste
name,nombre,nom
conclude,concluir,conclure
lunch,comida,dejeuner
portray,retratar,representer
inspire,inspirar,inspirer
because,porque,car
concentration,concentracion,concentration
root,raiz,racine
session,sesion,session
waste,desperdicio,dechets
quickly,rapidamente,rapidement
bunch,racimo,groupe
student,estudiante,elève
twenty,veinte,vingt
exciting,excitante,passionnant
copy,copiar,copie
cabinet,gabinete,cabinet
high,elevado,haut
prepare,preparar,preparer
closer,mas cerca,plus proche
pose,pose,pose
universal,universal,universel
develop,desarrollar,developper
bear,oso,ours
opponent,adversario,adversaire
gear,engranaje,equipement
guest,huesped,invite
four,cuatro,quatre
girl,nina,fille
biological,biologico,biologique
gray,gris,grise
protest,protesta,manifestation
also,ademas,egalement
tour,excursion,visiter
jewish,judio,juif
sanction,sancion,sanction
shore,orilla,rive
soul,alma,âme
so-called,asi llamado,soi-disant
sand,arena,sable
tennis,tenis,tennis
road,camino,route
real,verdadero,reel
fourth,cuatro,quatrième
privacy,intimidad,intimite
beat,derrotar,battre
boss,patron,chef
produce,produce,produire
absolutely,absolutamente,tout à fait
expand,expandir,developper
frustration,frustracion,frustration
creative,creativo,creatif
bike,bicicleta,bicyclette
ugly,feo,laid
virtue,virtud,vertu
personal,personal,personnel
offensive,ofensiva,offensive
weapon,arma,arme
independence,independencia,independance
senate,senado,senat
juice,jugo,jus
foreign,extranjero,etranger
accept,aceptar,j'accepte
concern,preocupacion,preoccuper
interpret,interpretar,interpreter
carrier,transportador,transporteur
constitute,constituir,constituer
distinct,distinto,distinct
observe,observar,observer
ceremony,ceremonia,la ceremonie
conflict,conflicto,conflit
pan,sarten,poêle
unique,unico,unique
yourself,tu mismo,toi-même
legend,leyenda,legende
rather,bastante,plutôt
body,cuerpo,corps
expose,exponer,exposer
patch,parche,pièce
skill,habilidad,competence
stomach,estomago,estomac
additional,adicional,additionnel
course,curso,cours
weekly,semanal,hebdomadaire
portrait,retrato,portrait
impose,imponer,imposer
earnings,ganancias,gains
surround,rodear,entourer
efficient,eficiente,efficace
sigh,suspiro,soupir
vision,vision,vision
bank,banco,banque
material,material,materiel
track,pista,piste
secure,seguro,securise
family,familia,famille
secretary,secretario,secretaire
election,eleccion,election
debate,debate,debat
ms,milisegundo,mme
race,raza,course
stable,estable,stable
should,deberian,devrait
kitchen,cocina,cuisine
platform,plataforma,plate-forme
alcohol,alcohol,de l'alcool
innocent,inocente,innocent
snow,nieve,neiger
instead,en lugar de,au lieu
desire,deseo,desir
below,debajo,au dessous de
glove,guante,gant
whereas,mientras que,tandis que
shade,sombra,ombre
amazing,increible,etonnante
improvement,mejora,amelioration
detail,detalle,detail
evaluate,evaluar,evaluer
contain,contiene,contenir
someone,alguien,quelqu'un
occasion,ocasion,occasion
secret,secreto,secret
dangerous,peligroso,dangereux
freeze,congelar,geler
song,cancion,chanson
academic,academico,academique
fair,justo,equitable
romantic,romantico,romantique
rid,deshacerse,debarrasser
lower,mas bajo,plus bas
evolution,evolucion,evolution
mask,mascara,masquer
destruction,destruccion,destruction
final,final,final
arrive,llegar,arrivee
length,longitud,longueur
hospital,hospital,hôpital
wedding,boda,mariage
close,cerrar,fermer
governor,gobernador,gouverneur
producer,productor,producteur
pm,pm,pm
incredible,increible,incroyable
married,casado,marie
fifty,cincuenta,cinquante
permanent,permanente,permanent
respondent,demandado,intime
acknowledge,reconocer,accuser reception
keep,mantenerse,garder
communication,comunicacion,la communication
slow,lento,lent
message,mensaje,un message
scandal,escandalo,scandale
briefly,brevemente,brièvement
describe,describir,decris
whatever,lo que,peu importe
private,privado,prive
can,lata,pouvez
military,militar,militaire
card,tarjeta,carte
borrow,tomar prestado,emprunter
government,gobierno,gouvernement
core,centro,cœur
ourselves,nosotros mismos,nous-mêmes
exchange,intercambio,echanger
episode,episodio,episode
found,fundar,a trouve
rank,rango,rang
event,evento,un evenement
term,termino,terme
pocket,bolsillo,poche
gift,regalo,cadeau
differently,diferentemente,differemment
surely,seguramente,sûrement
seven,siete,sept
somehow,de alguna manera,en quelque sorte
poverty,pobreza,la pauvrete
share,cuota,partager
accompany,acompanar,accompagner
tomorrow,manana,demain
possibility,posibilidad,possibilite
previous,anterior,precedent
wave,ola,vague
injury,lesion,blessure
shall,debera,doit
telescope,telescopio,telescope
steal,robar,voler
male,masculino,masculin
you,usted,toi
dream,sueno,rêver
again,otra vez,de nouveau
celebration,celebracion,fête
foundation,fundacion,fondation
onto,sobre,sur
once,una vez,une fois que
beach,playa,plage
mental,mental,mental
center,centrar,centre
to,para,pour
capability,capacidad,aptitude
artist,artista,artiste
tired,cansado,fatigue
intellectual,intelectual,intellectuel
elsewhere,en otra parte,ailleurs
second,segundo,seconde
first,primero,première
notion,nocion,notion
objective,objetivo,objectif
novel,novela,roman
office,oficina,bureau
throw,lanzar,lancer
writing,escribiendo,en ecrivant
furniture,mueble,meubles
factor,factor,facteur
recommendation,recomendacion,recommandation
ever,siempre,jamais
angry,enfadado,en colère
narrow,estrecho,etroit
tomato,tomate,tomate
collect,recolectar,collecter
attempt,intento,tentative
belt,cinturon,ceinture
clinic,clinica,clinique
ability,capacidad,capacite
retirement,jubilacion,retraite
sex,sexo,sexe
gaze,mirada,regard
drink,bebida,boisson
probably,probablemente,probablement
implement,implementar,mettre en œuvre
meter,metro,mètre
fix,reparar,reparer
ring,anillo,bague
grand,grandioso,grandiose
odd,impar,impair
shut,cerrar,fermer
virus,virus,virus
peer,mirar,pair
circumstance,circunstancia,circonstance
store,tienda,boutique
eliminate,eliminar,eliminer
thousand,mil,mille
generally,generalmente,generalement
painting,cuadro,la peinture
outcome,salir,resultat
gather,recolectar,rassembler
pregnancy,el embarazo,grossesse
strong,fuerte,fort
society,sociedad,societe
training,capacitacion,formation
what,que,quel
criminal,delincuente,criminel
motion,movimiento,mouvement
owner,dueno,proprietaire
increasingly,cada vez mas,de plus en plus
speaker,altavoz,conferencier
how,como,comment
goal,meta,but
practical,practico,pratique
wild,salvaje,sauvage
warn,advertir,prevenir
worry,preocuparse,s'inquieter
burn,quemar,brûler
warm,calido,chaleureux
calculate,calcular,calculer
factory,fabrica,usine
pepper,pimienta,poivre
honey,carino,mon cheri
loud,ruidoso,fort
ease,facilitar,faciliter
commander,comandante,le commandant
hall,salon,salle
sense,sentido,sens
hear,escuchar,ecouter
since,ya que,puisque
highway,carretera,autoroute
republican,republicano,republicain
profession,profesion,profession
impact,impacto,impacter
external,externo,externe
mayor,alcalde,maire
modern,moderno,moderne
mission,mision,mission
explosion,explosion,explosion
diverse,diverso,diverse
coverage,cobertura,couverture
surprising,sorprendente,surprenant
regime,regimen,regime
make,hacer,fabriquer
fear,miedo,peur
salad,ensalada,salade
ultimately,por ultimo,finalement
voice,voz,voix
character,personaje,personnage
status,estado,statut
oh,oh,oh
nervous,nervioso,nerveux
respect,respeto,le respect
grass,hierba,gazon
guideline,guia,ligne directrice
northern,del norte,nord
pride,orgullo,orgueil
enhance,mejorar,ameliorer
file,expediente,fichier
adolescent,adolescente,adolescent
attractive,atractivo,attractif
happy,contento,content
member,miembro,membre
anger,enojo,colère
extension,extension,extension
budget,presupuesto,budget
rest,descanso,du repos
aid,ayuda,aide
maintain,mantener,maintenir
herself,si misma,se
naked,desnudo,nu
world,mundo,monde
grab,tomar,saisir
worried,preocupado,inquiet
tonight,esta noche,ce soir
ad,anuncio,ad
charge,cargar,charger
buy,comprar,acheter
sick,enfermo,malade
switch,cambiar,changer
cost,costo,coût
process,proceso,traiter
hi,hola,salut
specifically,especificamente,plus precisement
successful,exitoso,reussi
habitat,habitat,habitat
recall,recordar,rappeler
effort,esfuerzo,effort
ground,terrestre,sol
disorder,trastorno,desordre
plastic,el plastico,plastique
depth,profundidad,profondeur
commitment,compromiso,engagement
determine,determinar,determiner
between,entre,compris entre
asian,asiatico,asiatique
police,policia,police
cell,celula,cellule
damage,dano,dommage
drive,conducir,conduire
guide,guia,guider
partnership,camaraderia,partenariat
university,universidad,universite
compare,comparar,comparer
bother,molestar,embêter
consist,consistir,consister
marketing,marketing,commercialisation
month,mes,mois
gun,pistola,arme à feu
intervention,intervencion,intervention
sure,por supuesto,bien sur
therefore,por lo tanto,donc
principal,principal,principal
direction,direccion,direction
capital,capital,capitale
boundary,perimetro,frontière
dinner,cena,dîner
vegetable,vegetal,legume
arab,arabe,arabe
network,la red,reseau
season,temporada,saison
market,mercado,marche
limitation,limitacion,limitation
feel,sentir,sentir
sun,sol,soleil
southern,meridional,du sud
mode,modo,mode
floor,piso,sol
camera,camara,appareil photo
interested,interesado,interesse
daughter,hija,la fille
win,ganar,gagner
iraqi,iraqui,irakien
noise,ruido,bruit
ski,esqui,ski
captain,capitan,capitaine
chart,grafico,graphique
compete,competir,rivaliser
complicated,complicado,complique
stability,estabilidad,la stabilite
major,importante,majeur
scene,escena,scène
exhibit,exposicion,exposition
suggest,sugerir,suggerer
strange,extrano,etrange
run,correr,cours
square,cuadrado,carre
toss,sacudida,lancer
visual,visual,visuel
kind,tipo,type
our,nuestro,notre
expression,expresion,expression
standing,de pie,debout
see,ver,voir
software,software,logiciel
investigator,investigador,enquêteur
thin,delgado,mince
job,trabajo,travail
risk,riesgo,risque
driver,conductor,chauffeur
tank,tanque,char
complex,complejo,complexe
deputy,diputado,adjoint
adventure,aventuras,aventure
frame,marco,cadre
fuel,gasolina,carburant
north,norte,nord
precisely,precisamente,precisement
teen,adolescente,adolescent
modest,modesto,modeste
egg,huevo,oeuf
fast,rapido,vite
color,color,couleur
attract,atraer,attirer
broad,amplio,large
photo,foto,photo
unit,unidad,unite
artistic,artistico,artistique
they,ellos,elles ou ils
aim,apuntar,objectif
homeless,vagabundo,sans-abri
nuclear,nuclear,nucleaire
line,linea,ligne
spirit,espiritu,esprit
victim,victima,victime
spending,gasto,depenses
arrest,arrestar,arrêter
decade,decada,decennie
rate,calificar,taux
okay,bueno,d'accord
mortgage,hipoteca,hypothèque
courage,coraje,courage
tall,alto,haut
dna,adn,adn
slave,esclavo,trimer
psychological,psicologico,psychologique
moreover,es mas,en outre
politician,politico,politicien
similar,similar,similaire
dig,cavar,creuser
this,esta,ce
smile,sonreir,le sourire
senior,mayor,senior
paint,pintura,peinture
metal,metal,metal
need,necesitar,besoin
everywhere,en todas partes,partout
trick,truco,duper
cow,vaca,vache
record,registro,disque
potential,potencial,potentiel
request,solicitud,demande
circle,circulo,cercle
lay,poner,allonger
tobacco,tabaco,le tabac
comment,comentario,commenter
enforcement,aplicacion,mise en vigueur
bridge,puente,pont
path,sendero,chemin
mount,montar,monter
massive,masivo,massif
native,nativo,originaire de
short,pequeno,court
fat,grasa,gros
income,ingreso,le revenu
front,parte delantera,de face
coat,saco,manteau
numerous,numeroso,nombreux
mechanism,mecanismo,mecanisme
assessment,evaluacion,evaluation
health,salud,sante
quite,bastante,assez
chest,cofre,coffre
sing,canta,chanter
action,accion,action
five,cinco,cinq
gender,genero,le sexe
disappear,desaparecer,disparaître
football,futbol,football
tunnel,tunel,tunnel
welfare,bienestar,bien-être
ah,ah,ah
comprehensive,exhaustivo,complet
take,llevar,prendre
legacy,legado,heritage
protein,proteina,proteine
catholic,catolico,catholique
tendency,tendencia,tendance
dimension,dimension,dimension
assignment,asignacion,mission
veteran,veterano,veteran
crew,tripulacion,equipage
characteristic,caracteristica,caracteristique
likely,probable,probable
steady,firme,constant
layer,capa,couche
carbon,carbon,carbone
importance,importancia,importance
corn,maiz,maïs
provider,proveedor,fournisseur
support,apoyo,support
hungry,hambriento,faim
attack,ataque,attaque
image,imagen,image
victory,victoria,la victoire
total,total,total
ban,prohibicion,interdire
glass,vidrio,verre
condition,condicion,etat
slightly,levemente,legèrement
prosecutor,fiscal,procureur
head,cabeza,diriger
equally,igualmente,egalement
model,modelo,maquette
sacred,sagrado,sacre
stay,quedate,rester
recognize,reconocer,reconnaître
yet,aun,encore
personally,personalmente,personnellement
half,medio,demi
on,en,au
hate,odio,detester
woman,mujer,femme
convert,convertir,convertir
partly,parcialmente,partiellement
sake,motivo,sake
nod,asentir,hocher la tête
citizen,ciudadano,citoyen
french,frances,francais
guy,chico,mec
missile,misil,missile
solid,solido,solide
match,partido,rencontre
emotional,emocional,emotif
just,solo,juste
psychologist,psicologo,psychologue
portion,parte,portion
possible,posible,possible
elementary,elemental,elementaire
musical,musical,musical
diet,dieta,diète
educator,educador,educateur
picture,imagen,image
supply,suministro,fournir
recognition,reconocimiento,reconnaissance
uncle,tio,oncle
fighter,combatiente,combattant
daily,a diario,du quotidien
recently,hace poco,recemment
doubt,duda,doute
summit,cumbre,sommet
flee,huir,fuir
suffer,sufrir,souffrir
survival,supervivencia,survie
guarantee,garantia,garantie
ill,enfermo,malade
absolute,absoluto,absolu
regarding,con respecto a,en ce qui concerne
violation,violacion,violation
particularly,particularmente,particulièrement
imply,implicar,impliquer
thick,grueso,epais
sleep,dormir,sommeil
swear,jurar,jurer
popular,popular,populaire
invest,invertir,investir
gain,ganar,gain
reach,alcanzar,atteindre
usual,usual,habituel
variety,variedad,variete
cut,corte,couper
garden,jardin,jardin
cooking,cocinando,cuisine
stream,arroyo,flux
present,regalo,cadeau
journal,diario,journal
hang,colgar,pendre
campus,instalaciones,campus
lift,elevar,ascenseur
gold,oro,or
operating,operando,en fonctionnement
lock,cerrar con llave,fermer à cle
future,futuro,avenir
news,noticias,nouvelles
appropriate,apropiado,approprie
continued,continuado,a continue
perfect,perfecto,parfait
let,dejar,laisser
smell,oler,sentir
service,servicio,service
exist,existe,exister
strongly,fuertemente,fortement
heavily,fuertemente,fortement
map,mapa,carte
nation,nacion,nation
life,la vida,la vie
sharp,afilado,tranchant
respond,responder,repondre
financial,financiero,financier
motivation,motivacion,motivation
aggressive,agresivo,agressif
album,album,album
miracle,milagro,miracle
bell,campana,cloche
tissue,tejido,tissu
attach,adjuntar,attacher
i,yo,je
raw,crudo,cru
themselves,ellos mismos,eux-mêmes
engage,comprometerse,engager
overlook,pasar por alto,negliger
maybe,quizas,peut être
congress,congreso,congrès
difficulty,dificultad,difficulte
law,ley,droit
female,mujer,femme
under,bajo,en dessous de
incident,incidente,incident
constantly,constantemente,constamment
commission,comision,commission
consider,considerar,considerer
english,ingles,anglais
somewhat,algo,quelque peu
