a,un,une
charge,cargar,charger
charity,caridad,charité
chart,gráfico,graphique
chase,perseguir,chasser
cheap,barato,pas cher
check,controlar,chèque
cheek,mejilla,joue
cheese,queso,fromage
chef,cocinero,chef
chemical,químico,chimique
chest,cofre,coffre
chicken,pollo,poulet
chief,jefe,chef
child,niño,enfant
childhood,infancia,enfance
chinese,chino,chinois
chip,chip,ébrécher
chocolate,chocolate,chocolat
choice,elección,choix
cholesterol,colesterol,cholestérol
choose,escoger,choisir
christian,cristiano,christian
christmas,navidad,noël
church,iglesia,église
cigarette,cigarrillo,cigarette
circle,circulo,cercle
circumstance,circunstancia,circonstance
cite,citar,citer
citizen,ciudadano,citoyen
city,ciudad,ville
civil,civil,civil
civilian,civil,civil
claim,afirmar,réclamer
class,clase,classer
classic,clásico,classique
classroom,salón de clases,salle de classe
clean,limpio,nettoyer
clear,claro,dégager
clearly,claramente,clairement
client,cliente,client
climate,clima,climat
climb,escalada,grimper
clinic,clínica,clinique
clinical,clínico,clinique
clock,reloj,l'horloge
close,cerrar,fermer
closely,cercanamente,étroitement
closer,más cerca,plus proche
clothes,ropa,vêtements
clothing,ropa,vêtements
cloud,nube,nuage
club,club,club
clue,pista,indice
cluster,grupo,groupe
coach,entrenador,entraîneur
coal,carbón,charbon
coalition,coalición,coalition
coast,costa,côte
coat,saco,manteau
code,código,code
coffee,café,café
cognitive,cognitivo,cognitif
cold,frío,du froid
collapse,colapso,s'effondrer
colleague,colega,collègue
collect,recolectar,collecter
collection,colección,collection
collective,colectivo,collectif
college,universidad,université
colonial,colonial,colonial
color,color,couleur
column,columna,colonne
combination,combinación,combinaison
combine,combinar,combiner
come,venir,viens
comedy,comedia,la comédie
comfort,comodidad,confort
comfortable,cómodo,à l'aise
command,mando,commander
commander,comandante,le commandant
comment,comentario,commenter
commercial,comercial,commercial
commission,comisión,commission
commit,cometer,s'engager
commitment,compromiso,engagement
committee,comité,comité
common,común,commun
communicate,comunicar,communiquer
communication,comunicación,la communication
community,comunidad,communauté
company,empresa,entreprise
compare,comparar,comparer
comparison,comparación,comparaison
compete,competir,rivaliser
competition,competencia,concurrence
competitive,competitivo,compétitif
competitor,competidor,concurrent
complain,quejarse,se plaindre
complaint,queja,plainte
complete,completo,achevée
completely,completamente,complètement
complex,complejo,complexe
complicated,complicado,compliqué
component,componente,composant
compose,componer,composer
composition,composición,composition
comprehensive,exhaustivo,complet
computer,computadora,l'ordinateur
concentrate,concentrado,concentrer
concentration,concentración,concentration
concept,concepto,concept
concern,preocupación,préoccuper
concerned,preocupado,concerné
concert,concierto,concert
conclude,concluir,conclure
conclusion,conclusión,conclusion
concrete,hormigón,béton
condition,condición,état
conduct,conducta,conduite
conference,conferencia,conférence
confidence,confianza,confiance
confident,seguro,confiant
confirm,confirmar,confirmer
conflict,conflicto,conflit
confront,confrontar,affronter
confusion,confusión,confusion
congress,congreso,congrès
congressional,del congreso,du congrès
connect,conectar,relier
connection,conexión,connexion
consciousness,conciencia,conscience
consensus,consenso,consensus
consequence,consecuencia,conséquence
conservative,conservador,conservateur
consider,considerar,considérer
considerable,considerable,considérable
consideration,consideración,considération
consist,consistir,consister
consistent,consistente,cohérent
constant,constante,constant
constantly,constantemente,constamment
constitute,constituir,constituer
constitutional,constitucional,constitutionnel
construct,construir,construction
construction,construcción,construction
consultant,consultor,consultant
consume,consumir,consommer
consumer,consumidor,consommateur
consumption,consumo,consommation
contact,contacto,contact
contain,contiene,contenir
container,envase,récipient
contemporary,contemporáneo,contemporain
content,contenido,contenu
contest,concurso,concours
context,contexto,le contexte
continue,seguir,continuez
continued,continuado,a continué
contract,contrato,contrat
contrast,contraste,contraste
contribute,contribuir,contribuer
contribution,contribución,contribution
control,control,contrôler
controversial,polémico,controversé
controversy,controversia,controverse
convention,convención,convention
conventional,convencional,conventionnel
conversation,conversacion,conversation
convert,convertir,convertir
conviction,convicción,conviction
convince,convencer,convaincre
cook,cocinar,cuisiner
cookie,galleta,biscuit
cooking,cocinando,cuisine
cool,frio,frais
cooperation,cooperación,la coopération
cop,policía,flic
cope,afrontar,se débrouiller
copy,copiar,copie
core,centro,cœur
corn,maíz,maïs
corner,esquina,coin
corporate,corporativo,d'entreprise
corporation,corporación,société
correct,correcto,correct
correspondent,corresponsal,correspondant
cost,costo,coût
cotton,algodón,coton
couch,sofá,canapé
could,pudo,pouvait
council,consejo,conseil
counselor,consejero,conseiller
count,contar,compter
counter,encimera,contrer
country,país,de campagne
county,condado,comté
couple,pareja,coupler
courage,coraje,courage
course,curso,cours
court,corte,rechercher
cousin,prima,cousine
cover,cubrir,couverture
coverage,cobertura,couverture
cow,vaca,vache
crack,grieta,fissure
craft,artesanía,artisanat
crash,choque,crash
crazy,loco,fou
cream,crema,crème
create,crear,créer
creation,creación,création
creative,creativo,créatif
creature,criatura,créature
credit,crédito,crédit
crew,tripulación,équipage
crime,crimen,la criminalité
criminal,delincuente,criminel
crisis,crisis,crise
criteria,criterio,critères
critic,crítico,critique
critical,crítico,critique
criticism,crítica,critique
criticize,criticar,critiquer
crop,cultivo,recadrer
cross,cruzar,traverser
crowd,multitud,foule
crucial,crucial,crucial
cry,llorar,pleurer
cultural,cultural,culturel
culture,cultura,culture
cup,taza,coupe
curious,curioso,curieuse
current,actual,courant
currently,actualmente,actuellement
curriculum,plan de estudios,curriculum
custom,personalizado,douane
customer,cliente,client
cut,corte,couper
cycle,ciclo,cycle
dad,papá,père
daily,a diario,du quotidien
damage,daño,dommage
dance,danza,danse
danger,peligro,danger
dangerous,peligroso,dangereux
dare,atrevimiento,oser
dark,oscuro,foncé
darkness,oscuridad,ténèbres
data,datos,les données
date,fecha,date
daughter,hija,la fille
day,día,journée
dead,muerto,mort
deal,trato,accord
dealer,distribuidor,marchand
dear,estimado,cher
death,muerte,décès
debate,debate,débat
debt,deuda,dette
decade,década,décennie
decide,decidir,décider
decision,decisión,décision
deck,plataforma,plate-forme
declare,declarar,déclarer
decline,disminución,déclin
decrease,disminución,diminuer
deep,profundo,profond
deeply,profundamente,profondément
deer,ciervo,cerf
defeat,fracaso,défaite
defend,defender,défendre
defendant,acusado,défendeur
defense,defensa,la défense
defensive,defensivo,défensive
deficit,déficit,déficit
define,definir,définir
definitely,definitivamente,absolument
definition,definición,définition
degree,la licenciatura,diplôme
delay,demora,retard
deliver,entregar,livrer
delivery,entrega,livraison
demand,demanda,demande
democracy,democracia,la démocratie
democrat,demócrata,démocrate
democratic,democrático,démocratique
demonstrate,demostrar,démontrer
demonstration,demostración,manifestation
deny,negar,nier
department,departamento,département
depend,depender,dépendre
dependent,dependiente,dépendant
depending,dependiente,"en fonction, dépendemment"
depict,representar,représenter
depression,depresión,dépression
depth,profundidad,profondeur
deputy,diputado,adjoint
derive,derivar,dériver
describe,describir,décris
description,descripción,la description
desert,desierto,désert
deserve,merecer,mériter
design,diseño,conception
designer,diseñador,designer
desire,deseo,désir
desk,escritorio,pupitre
desperate,desesperado,désespéré
despite,a pesar de,en dépit
destroy,destruir,détruire
destruction,destrucción,destruction
detail,detalle,détail
detailed,detallado,détaillé
detect,detectar,détecter
determine,determinar,déterminer
develop,desarrollar,développer
developing,desarrollando,développement
development,desarrollo,développement
device,dispositivo,appareil
devote,dedicar,consacrer
dialogue,diálogo,dialogue
die,morir,mourir
diet,dieta,diète
differ,diferir de,différer
difference,diferencia,différence
different,diferente,différent
differently,diferentemente,différemment
difficult,difícil,difficile
difficulty,dificultad,difficulté
dig,cavar,creuser
digital,digital,numérique
dimension,dimensión,dimension
dining,comida,à manger
dinner,cena,dîner
direct,directo,direct
direction,dirección,direction
directly,directamente,directement
director,director,réalisateur
dirt,tierra,saleté
dirty,sucio,sale
disability,invalidez,invalidité
disagree,discrepar,être en désaccord
disappear,desaparecer,disparaître
disaster,desastre,catastrophe
discipline,disciplina,la discipline
discourse,discurso,discours
discover,descubrir,découvrir
discovery,descubrimiento,découverte
discrimination,discriminación,la discrimination
discuss,discutir,discuter
discussion,discusión,discussion
disease,enfermedad,maladie
dish,plato,assiette
dismiss,descartar,rejeter
disorder,trastorno,désordre
display,mostrar,affichage
dispute,disputa,contestation
distance,distancia,distance
distant,distante,loin
distinct,distinto,distinct
distinction,distinción,distinction
distinguish,distinguir,distinguer
distribute,distribuir,distribuer
distribution,distribución,distribution
district,distrito,quartier
diverse,diverso,diverse
diversity,diversidad,la diversité
divide,dividir,diviser
division,división,division
divorce,divorcio,divorce
dna,adn,adn
do,hacer,fais
doctor,médico,médecin
document,documento,document
dog,perro,chien
domestic,doméstico,national
dominant,dominante,dominant
dominate,dominar,dominer
door,puerta,porte
double,doble,double
doubt,duda,doute
down,abajo,vers le bas
downtown,centro,centre ville
dozen,docena,douzaine
draft,sequía,brouillon
drag,arrastrar,traîne
drama,drama,drame
dramatic,dramático,spectaculaire
dramatically,dramáticamente,radicalement
draw,dibujar,dessiner
drawing,dibujo,dessin
dream,sueño,rêver
dress,vestido,robe
drink,bebida,boisson
drive,conducir,conduire
driver,conductor,chauffeur
drop,soltar,laissez tomber
drug,droga,drogue
dry,seco,sécher
due,vencer,payable
during,durante,durant
dust,polvo,poussière
duty,deber,devoir
each,cada,chaque
eager,entusiasta,désireux
ear,oreja,oreille
early,temprano,de bonne heure
earn,ganar,gagner
earnings,ganancias,gains
earth,tierra,la terre
ease,facilitar,faciliter
easily,fácilmente,facilement
east,este,est
eastern,oriental,est
easy,fácil,facile
eat,come,manger
economic,económico,économique
economics,ciencias económicas,économie
economist,economista,économiste
economy,economía,économie
edge,borde,bord
edition,edición,édition
editor,editor,éditeur
educate,educar,éduquer
education,educación,éducation
educational,educativo,éducatif
educator,educador,éducateur
effect,efecto,effet
effective,eficaz,efficace
effectively,efectivamente,effectivement
efficiency,eficiencia,efficacité
efficient,eficiente,efficace
effort,esfuerzo,effort
egg,huevo,oeuf
eight,ocho,huit
either,cualquiera,soit
elderly,anciano,âgé
elect,electo,élire
election,elección,élection
electric,eléctrico,électrique
electricity,electricidad,électricité
electronic,electrónico,électronique
element,elemento,élément
elementary,elemental,élémentaire
eliminate,eliminar,éliminer
elite,élite,élite
else,demás,autre
elsewhere,en otra parte,ailleurs
e-mail,email,e-mail
embrace,abarcar,embrasse
emerge,surgir,émerger
emergency,emergencia,urgence
emission,emisión,émission
emotion,emoción,émotion
emotional,emocional,émotif
emphasis,énfasis,accent
emphasize,enfatizar,mettre l'accent sur
employ,emplear,employer
employee,empleado,employé
employer,empleador,employeur
employment,empleo,emploi
empty,vacío,vide
enable,habilitar,permettre
encounter,encuentro,rencontrer
encourage,alentar,encourager
end,final,finir
enemy,enemigo,ennemi
energy,energía,énergie
enforcement,aplicación,mise en vigueur
engage,comprometerse,engager
engine,motor,moteur
engineer,ingeniero,ingénieur
engineering,ingenieria,ingénierie
english,inglés,anglais
enhance,mejorar,améliorer
enjoy,disfrutar,prendre plaisir
enormous,enorme,énorme
enough,suficiente,assez
ensure,garantizar,assurer
enter,ingresar,entrer
enterprise,empresa,entreprise
entertainment,entretenimiento,divertissement
entire,completo,tout
entirely,enteramente,entièrement
entrance,entrada,entrée
entry,entrada,entrée
environment,ambiente,environnement
environmental,ambiental,environnemental
episode,episodio,épisode
equal,igual,égal
equally,igualmente,également
equipment,equipo,équipement
era,era,ère
error,error,erreur
escape,escapar,échapper
especially,especialmente,surtout
essay,ensayo,essai
essential,esencial,essentiel
essentially,esencialmente,essentiellement
establish,establecer,établir
establishment,establecimiento,établissement
estate,inmuebles,domaine
estimate,estimar,estimation
etc,etc.,etc
ethics,ética,éthique
ethnic,étnico,ethnique
european,europeo,européen
evaluate,evaluar,évaluer
evaluation,evaluación,évaluation
even,incluso,même
evening,noche,soirée
event,evento,un événement
eventually,finalmente,finalement
ever,siempre,jamais
every,cada,tous
everybody,todos,tout le monde
everyday,cada día,tous les jours
everyone,todo el mundo,toutes les personnes
everything,todo,tout
everywhere,en todas partes,partout
evidence,evidencia,preuve
evolution,evolución,évolution
evolve,evolucionar,évoluer
exact,exacto,exact
exactly,exactamente,exactement
examination,examen,examen
examine,examinar,examiner
example,ejemplo,exemple
exceed,exceder,dépasser
excellent,excelente,excellent
except,excepto,à l'exception
exception,excepción,exception
exchange,intercambio,échanger
exciting,excitante,passionnant
executive,ejecutivo,exécutif
exercise,ejercicio,exercer
exhibit,exposición,exposition
exhibition,exposición,exposition
exist,existe,exister
existence,existencia,existence
existing,existente,existant
expand,expandir,développer
expansion,expansión,expansion
expect,suponer,attendre
expectation,expectativa,attente
expense,gastos,frais
expensive,caro,cher
experience,experiencia,expérience
experiment,experimentar,expérience
expert,experto,expert
explain,explicar,explique
explanation,explicación,explication
explode,explotar,exploser
explore,explorar,explorer
explosion,explosión,explosion
expose,exponer,exposer
exposure,exposición,exposition
express,rápido,express
expression,expresión,expression
extend,ampliar,se déployer
extension,extensión,extension
extensive,extenso,extensif
extent,grado,le degré
external,externo,externe
extra,extra,supplémentaire
extraordinary,extraordinario,extraordinaire
extreme,extremo,extrême
extremely,extremadamente,extrêmement
eye,ojo,œil
fabric,tela,en tissu
face,rostro,visage
facility,instalaciones,établissement
fact,hecho,fait
factor,factor,facteur
factory,fábrica,usine
faculty,facultad,la faculté
fade,desvanecerse,disparaître
fail,fallar,échouer
failure,falla,échec
fair,justo,équitable
fairly,equitativamente,équitablement
faith,fe,foi
fall,otoño,tomber
false,falso,faux
familiar,familiar,familier
family,familia,famille
famous,famoso,célèbre
fan,ventilador,ventilateur
fantasy,fantasía,fantaisie
far,lejos,loin
farm,granja,cultiver
farmer,agricultor,fermier
fashion,moda,mode
fast,rápido,vite
fat,grasa,gros
fate,destino,destin
father,padre,père
fault,culpa,faute
favor,favor,favoriser
favorite,favorito,favori
fear,miedo,peur
feature,rasgo,caractéristique
federal,federal,fédéral
fee,tarifa,frais
feed,alimento,alimentation
feel,sentir,sentir
feeling,sentimiento,sentiment
fellow,compañero,compagnon
female,mujer,femme
fence,valla,clôture
few,pocos,quelque
fewer,menos,moins
fiber,fibra,fibre
fiction,ficción,fiction
field,campo,champ
fifteen,quince,quinze
fifth,quinto,cinquième
fifty,cincuenta,cinquante
fight,pelear,se battre
fighter,combatiente,combattant
fighting,luchando,combat
figure,figura,chiffre
file,expediente,fichier
fill,llenar,remplir
film,película,film
final,final,final
finally,finalmente,finalement
finance,finanzas,la finance
financial,financiero,financier
find,encontrar,trouver
finding,hallazgo,découverte
fine,multa,amende
finger,dedo,doigt
finish,finalizar,terminer
fire,fuego,feu
firm,firma,solidifier
first,primero,première
fish,pez,poisson
fishing,pesca,faire de la pêche
fit,encajar,ajuster
fitness,aptitud física,aptitude
five,cinco,cinq
fix,reparar,réparer
flag,bandera,drapeau
flame,fuego,flamme
flat,departamento,appartement
flavor,sabor,saveur
flee,huir,fuir
flesh,carne,chair
flight,vuelo,vol
float,flotador,flotter
floor,piso,sol
flow,flujo,couler
flower,flor,fleur
fly,mosca,voler
focus,enfocar,se concentrer
folk,gente,populaire
follow,seguir,suivre
following,siguiente,suivant
food,comida,aliments
foot,pie,le pied
football,fútbol,football
for,por,pour
force,fuerza,obliger
foreign,extranjero,étranger
forest,bosque,forêt
forever,siempre,toujours
forget,olvidar,oubliez
form,formulario,forme
formal,formal,formel
formation,formación,formation
former,anterior,ancien
formula,fórmula,formule
forth,adelante,en avant
fortune,fortuna,fortune
forward,hacia adelante,effronté
found,fundar,a trouvé
foundation,fundación,fondation
founder,fundador,fondateur
four,cuatro,quatre
fourth,cuatro,quatrième
frame,marco,cadre
framework,estructura,cadre
free,gratis,libre
freedom,libertad,liberté
freeze,congelar,geler
french,francés,français
frequency,frecuencia,la fréquence
frequent,frecuente,fréquent
frequently,frecuentemente,fréquemment
fresh,nuevo,frais
friend,amigo,amie
friendly,amistoso,amical
friendship,amistad,relation amicale
from,desde,à partir de
front,parte delantera,de face
fruit,fruta,fruit
frustration,frustración,frustration
fuel,gasolina,carburant
full,completo,plein
fully,completamente,pleinement
fun,divertido,amusant
function,función,une fonction
fund,fondo,fonds
fundamental,fundamental,fondamental
funding,fondos,le financement
funeral,funeral,funéraire
funny,gracioso,drôle
furniture,mueble,meubles
furthermore,es más,en outre
future,futuro,avenir
gain,ganar,gain
galaxy,galaxia,galaxie
gallery,galería,galerie
game,juego,jeu
gang,pandilla,gang
gap,brecha,écart
garage,garaje,garage
garden,jardín,jardin
garlic,ajo,ail
gas,gas,gaz
gate,portón,portail
gather,recolectar,rassembler
gay,gay,gay
gaze,mirada,regard
gear,engranaje,équipement
gender,género,le sexe
gene,gene,gène
general,general,général
generally,generalmente,généralement
generate,generar,produire
generation,generacion,génération
genetic,genético,génétique
gentleman,caballero,gentilhomme
gently,suavemente,doucement
german,alemán,allemand
gesture,gesto,geste
get,obtener,avoir
ghost,fantasma,fantôme
giant,gigante,géant
gift,regalo,cadeau
gifted,dotado,doué
girl,niña,fille
girlfriend,novia,copine
give,dar,donner
given,dado,étant donné
glad,contento,content
glance,mirada,coup d'œil
glass,vidrio,verre
global,global,global
glove,guante,gant
go,ir,va
goal,meta,but
god,dios,dieu
gold,oro,or
golden,dorado,doré
golf,golf,le golf
good,bien,bien
government,gobierno,gouvernement
governor,gobernador,gouverneur
grab,tomar,saisir
grade,calificación,noter
gradually,gradualmente,progressivement
graduate,graduado,diplômé
grain,grano,grain
grand,grandioso,grandiose
grandfather,abuelo,grand-père
grandmother,abuela,grand-mère
grant,conceder,accorder
grass,hierba,gazon
grave,tumba,la tombe
gray,gris,grise
great,estupendo,génial
greatest,más grande,plus grand
green,verde,vert
grocery,tienda de comestibles,épicerie
ground,terrestre,sol
group,grupo,grouper
grow,crecer,grandir
growing,creciente,croissance
growth,crecimiento,croissance
guarantee,garantía,garantie
guard,guardia,garder
guess,adivinar,deviner
guest,huésped,invité
guide,guía,guider
guideline,guía,ligne directrice
guilty,culpable,coupable
gun,pistola,arme à feu
guy,chico,mec
habit,hábito,habitude
habitat,habitat,habitat
hair,cabello,cheveu
half,medio,demi
hall,salón,salle
hand,mano,main
handful,puñado,poignée
handle,encargarse de,poignée
